customer_id,feature,shap_value,absolute_shap_value,impact_direction,rank
7590-VHVEG,tenure,1.2885054444034265,1.2885054444034265,INCREASES RISK,1
7590-VHVEG,MonthlyCharges,0.8358711022770188,0.8358711022770188,INCREASES RISK,2
7590-VHVEG,long_term_contract_flag,0.38183623420152796,0.38183623420152796,INCREASES RISK,3
7590-VHVEG,high_monthly_charge_flag,0.18464324463371298,0.18464324463371298,INCREASES RISK,4
7590-VHVEG,Contract_Two year,0.1290866514579286,0.1290866514579286,INCREASES RISK,5
7590-VHVEG,InternetService_DSL,-0.43703486234433986,0.43703486234433986,REDUCES RISK,1
7590-VHVEG,InternetService_Fiber optic,-0.3548868255507625,0.3548868255507625,REDUCES RISK,2
7590-VHVEG,streaming_services_count,-0.33358293037406556,0.33358293037406556,REDUCES RISK,3
7590-VHVEG,average_monthly_spend,-0.1350432323391232,0.1350432323391232,REDUCES RISK,4
7590-VHVEG,TotalCharges,-0.13129413500301312,0.13129413500301312,REDUCES RISK,5
5575-GNVDE,MonthlyCharges,0.24556511320364235,0.24556511320364235,INCREASES RISK,1
5575-GNVDE,Contract_One year,0.20234545200128906,0.20234545200128906,INCREASES RISK,2
5575-GNVDE,high_monthly_charge_flag,0.18464324463371298,0.18464324463371298,INCREASES RISK,3
5575-GNVDE,Contract_Two year,0.1290866514579286,0.1290866514579286,INCREASES RISK,4
5575-GNVDE,auto_payment_flag,0.09005663483036085,0.09005663483036085,INCREASES RISK,5
5575-GNVDE,long_term_contract_flag,-0.48597338898376286,0.48597338898376286,REDUCES RISK,1
5575-GNVDE,InternetService_DSL,-0.43703486234433986,0.43703486234433986,REDUCES RISK,2
5575-GNVDE,InternetService_Fiber optic,-0.3548868255507625,0.3548868255507625,REDUCES RISK,3
5575-GNVDE,streaming_services_count,-0.33358293037406556,0.33358293037406556,REDUCES RISK,4
5575-GNVDE,PaymentMethod_Mailed check,-0.16025808271263095,0.16025808271263095,REDUCES RISK,5
3668-QPYBK,tenure,1.2482018646598099,1.2482018646598099,INCREASES RISK,1
3668-QPYBK,long_term_contract_flag,0.38183623420152796,0.38183623420152796,INCREASES RISK,2
3668-QPYBK,MonthlyCharges,0.3130908905515194,0.3130908905515194,INCREASES RISK,3
3668-QPYBK,high_monthly_charge_flag,0.18464324463371298,0.18464324463371298,INCREASES RISK,4
3668-QPYBK,Contract_Two year,0.1290866514579286,0.1290866514579286,INCREASES RISK,5
3668-QPYBK,InternetService_DSL,-0.43703486234433986,0.43703486234433986,REDUCES RISK,1
